Date,Open,High,Low,Close,Volume
2026-01-01,1450.25,1465.50,1445.00,1458.75,2100000
2026-01-02,1460.00,1475.25,1455.50,1468.50,1980000
2026-01-03,1470.50,1485.75,1465.00,1478.25,2150000
2026-01-04,1480.00,1495.50,1475.50,1488.75,2250000
2026-01-05,1490.25,1505.00,1485.00,1498.50,2180000
2026-01-08,1500.00,1515.75,1495.50,1508.25,2050000
2026-01-09,1510.50,1525.25,1505.00,1518.75,2120000
2026-01-10,1520.00,1535.50,1515.50,1528.50,2190000
2026-01-11,1530.25,1545.00,1525.00,1538.75,2140000
2026-01-12,1540.00,1555.75,1535.50,1548.25,2080000
2026-01-15,1550.50,1565.25,1545.00,1558.75,2010000
2026-01-16,1560.00,1575.50,1555.50,1568.50,2060000
2026-01-17,1570.25,1585.00,1565.00,1578.75,2130000
2026-01-18,1580.00,1595.75,1575.50,1588.25,2090000
2026-01-19,1590.50,1605.25,1585.00,1598.75,2020000
2026-01-22,1600.00,1615.50,1595.50,1608.50,1950000
2026-01-23,1610.25,1625.00,1605.00,1618.75,1980000
2026-01-24,1620.00,1635.75,1615.50,1628.25,2010000
2026-01-25,1630.50,1645.25,1625.00,1638.75,1970000
2026-01-26,1640.00,1655.50,1635.50,1648.50,1940000
