Date,Open,High,Low,Close,Volume
2026-01-01,2400.50,2420.75,2395.00,2410.25,1250000
2026-01-02,2412.00,2435.50,2408.00,2428.75,1180000
2026-01-03,2430.25,2445.00,2425.50,2438.00,1320000
2026-01-04,2440.00,2460.25,2435.00,2455.50,1450000
2026-01-05,2458.00,2478.50,2453.00,2470.25,1380000
2026-01-08,2472.00,2485.00,2465.50,2478.75,1220000
2026-01-09,2480.00,2495.25,2475.00,2488.50,1290000
2026-01-10,2490.25,2510.00,2485.50,2505.75,1410000
2026-01-11,2508.00,2525.50,2503.00,2518.25,1350000
2026-01-12,2520.00,2535.75,2515.00,2528.50,1280000
2026-01-15,2530.25,2545.00,2525.50,2538.75,1190000
2026-01-16,2540.00,2555.25,2535.00,2548.00,1240000
2026-01-17,2550.50,2565.00,2545.50,2558.25,1310000
2026-01-18,2560.00,2575.50,2555.00,2568.75,1270000
2026-01-19,2570.25,2585.00,2565.50,2578.50,1200000
2026-01-22,2580.00,2595.25,2575.00,2588.75,1150000
2026-01-23,2590.50,2605.00,2585.50,2598.25,1180000
2026-01-24,2600.00,2615.50,2595.00,2608.75,1220000
2026-01-25,2610.25,2625.00,2605.50,2618.50,1190000
2026-01-26,2620.00,2635.75,2615.00,2628.25,1160000
