Date,Open,High,Low,Close,Volume
2026-01-01,3400.50,3425.75,3395.00,3412.25,980000
2026-01-02,3415.00,3440.50,3410.00,3428.75,920000
2026-01-03,3430.25,3455.00,3425.50,3445.00,1050000
2026-01-04,3448.00,3472.50,3443.00,3460.25,1120000
2026-01-05,3462.00,3487.75,3457.00,3475.50,1080000
2026-01-08,3478.00,3502.25,3473.00,3490.75,990000
2026-01-09,3493.00,3517.50,3488.00,3505.25,1020000
2026-01-10,3508.00,3532.75,3503.00,3520.50,1100000
2026-01-11,3523.00,3547.25,3518.00,3535.75,1070000
2026-01-12,3538.00,3562.50,3533.00,3550.25,1010000
2026-01-15,3553.00,3577.75,3548.00,3565.50,950000
2026-01-16,3568.00,3592.25,3563.00,3580.75,980000
2026-01-17,3583.00,3607.50,3578.00,3595.25,1040000
2026-01-18,3598.00,3622.75,3593.00,3610.50,1020000
2026-01-19,3613.00,3637.25,3608.00,3625.75,970000
2026-01-22,3628.00,3652.50,3623.00,3640.25,920000
2026-01-23,3643.00,3667.75,3638.00,3655.50,950000
2026-01-24,3658.00,3682.25,3653.00,3670.75,990000
2026-01-25,3673.00,3697.50,3668.00,3685.25,960000
2026-01-26,3688.00,3712.75,3683.00,3700.50,930000
